ejercicio,objetivo_lunes,real_lunes,objetivo_martes,real_martes,objetivo_miercoles,real_miercoles,objetivo_jueves,real_jueves,objetivo_viernes,real_viernes,objetivo_sabado,real_sabado,objetivo_domingo,real_domingo,observaciones
flexiones,15,,,15,,,15,,,15,,,15,,,,
sentadillas,20,,,20,,,20,,,20,,,20,,,,
zancadas,12_por_pierna,,,12_por_pierna,,,12_por_pierna,,,12_por_pierna,,,12_por_pierna,,,,
mountain_climbers,30,,,30,,,30,,,30,,,30,,,,
plancha_seg,45,,,45,,,45,,,45,,,45,,,,
core_plancha_seg,45,,,45,,,45,,,45,,,45,,,,
elevaciones_piernas,15,,,15,,,15,,,15,,,15,,,,
crunch,20,,,20,,,20,,,20,,,20,,,,
energia_1_5,,,,,,,,,,,,,,,,
completado_si_no,,,,,,,,,,,,,,,,
